FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening,Notes
"AL, Autauga",1999-2024,01001,Human infections and non-human activity,13,9,0,
"AL, Baldwin",1999-2024,01003,Human infections and non-human activity,31,20,8,
"AL, Barbour",1999-2024,01005,Human infections and non-human activity,2,1,0,
"AL, Bibb",1999-2024,01007,Human infections and non-human activity,3,2,0,
"AL, Blount",1999-2024,01009,Human infections and non-human activity,1,0,0,
"AL, Bullock",1999-2024,01011,Human infections and non-human activity,1,1,0,
"AL, Butler",1999-2024,01013,Human infections and non-human activity,2,1,1,
"AL, Calhoun",1999-2024,01015,Human infections and non-human activity,7,5,0,
"AL, Chambers",1999-2024,01017,Human infections and non-human activity,2,2,1,
"AL, Cherokee",1999-2024,01019,Non-human activity,0,0,0,
"AL, Chilton",1999-2024,01021,Human infections and non-human activity,4,4,0,
"AL, Choctaw",1999-2024,01023,Non-human activity,0,0,0,
"AL, Clarke",1999-2024,01025,Non-human activity,0,0,0,
"AL, Clay",1999-2024,01027,Non-human activity,0,0,0,
"AL, Cleburne",1999-2024,01029,Human infections and non-human activity,1,1,0,
"AL, Coffee",1999-2024,01031,Human infections and non-human activity,5,2,0,
"AL, Colbert",1999-2024,01033,Human infections and non-human activity,2,1,0,
"AL, Conecuh",1999-2024,01035,Human infections and non-human activity,1,1,0,
"AL, Coosa",1999-2024,01037,Non-human activity,0,0,0,
"AL, Covington",1999-2024,01039,Human infections and non-human activity,1,1,0,
"AL, Crenshaw",1999-2024,01041,Human infections and non-human activity,1,1,0,
"AL, Cullman",1999-2024,01043,Human infections and non-human activity,5,2,1,
"AL, Dale",1999-2024,01045,Human infections and non-human activity,5,2,2,
"AL, Dallas",1999-2024,01047,Human infections and non-human activity,10,5,0,
"AL, De Kalb",1999-2024,01049,Non-human activity,0,0,0,
"AL, Elmore",1999-2024,01051,Human infections and non-human activity,7,5,1,
"AL, Escambia",1999-2024,01053,Human infections and non-human activity,3,1,1,
"AL, Etowah",1999-2024,01055,Human infections and non-human activity,5,3,2,
"AL, Fayette",1999-2024,01057,Human infections and non-human activity,1,1,1,
"AL, Franklin",1999-2024,01059,Human infections and non-human activity,1,1,0,
"AL, Geneva",1999-2024,01061,Human infections and non-human activity,9,3,0,
"AL, Greene",1999-2024,01063,Non-human activity,0,0,0,
"AL, Hale",1999-2024,01065,Non-human activity,0,0,0,
"AL, Henry",1999-2024,01067,Human infections and non-human activity,1,1,0,
"AL, Houston",1999-2024,01069,Human infections and non-human activity,12,8,2,
"AL, Jackson",1999-2024,01071,Human infections and non-human activity,2,2,0,
"AL, Jefferson",1999-2024,01073,Human infections and non-human activity,70,54,3,
"AL, Lamar",1999-2024,01075,Non-human activity,0,0,0,
"AL, Lauderdale",1999-2024,01077,Human infections and non-human activity,1,1,0,
"AL, Lawrence",1999-2024,01079,Non-human activity,0,0,0,
"AL, Lee",1999-2024,01081,Human infections and non-human activity,2,1,3,
"AL, Limestone",1999-2024,01083,Human infections and non-human activity,4,2,0,
"AL, Lowndes",1999-2024,01085,Non-human activity,0,0,0,
"AL, Macon",1999-2024,01087,Non-human activity,0,0,0,
"AL, Madison",1999-2024,01089,Human infections and non-human activity,13,10,5,
"AL, Marengo",1999-2024,01091,Human infections and non-human activity,3,1,1,
"AL, Marion",1999-2024,01093,Human infections and non-human activity,1,1,0,
"AL, Marshall",1999-2024,01095,Human infections and non-human activity,3,1,0,
"AL, Mobile",1999-2024,01097,Human infections and non-human activity,83,60,13,
"AL, Monroe",1999-2024,01099,Human infections and non-human activity,2,1,0,
"AL, Montgomery",1999-2024,01101,Human infections and non-human activity,67,50,10,
"AL, Morgan",1999-2024,01103,Human infections and non-human activity,6,4,0,
"AL, Perry",1999-2024,01105,Human infections and non-human activity,1,0,0,
"AL, Pickens",1999-2024,01107,Human infections and non-human activity,2,1,0,
"AL, Pike",1999-2024,01109,Human infections and non-human activity,0,0,1,
"AL, Randolph",1999-2024,01111,Non-human activity,0,0,0,
"AL, Russell",1999-2024,01113,Human infections and non-human activity,2,1,0,
"AL, St Clair",1999-2024,01115,Human infections and non-human activity,0,0,1,
"AL, Shelby",1999-2024,01117,Human infections and non-human activity,12,12,1,
"AL, Sumter",1999-2024,01119,Human infections and non-human activity,2,1,0,
"AL, Talladega",1999-2024,01121,Human infections and non-human activity,6,5,0,
"AL, Tallapoosa",1999-2024,01123,Human infections and non-human activity,1,1,0,
"AL, Tuscaloosa",1999-2024,01125,Human infections and non-human activity,31,21,1,
"AL, Walker",1999-2024,01127,Human infections and non-human activity,1,1,0,
"AL, Washington",1999-2024,01129,Human infections and non-human activity,1,0,1,
"AL, Wilcox",1999-2024,01131,Human infections and non-human activity,2,2,0,
"AL, Winston",1999-2024,01133,Human infections and non-human activity,1,1,0,
"AK, Anchorage Muny",1999-2024,02020,Human infections,1,1,0,
AK,1999-2024,02999,Human infections,2,1,1,
"AZ, Apache",1999-2024,04001,Human infections and non-human activity,15,11,0,
"AZ, Cochise",1999-2024,04003,Human infections and non-human activity,10,6,3,
"AZ, Coconino",1999-2024,04005,Human infections and non-human activity,9,5,1,
"AZ, Gila",1999-2024,04007,Human infections and non-human activity,27,17,2,
"AZ, Graham",1999-2024,04009,Human infections and non-human activity,30,17,5,
"AZ, Greenlee",1999-2024,04011,Human infections and non-human activity,1,1,0,
"AZ, La Paz",1999-2024,04012,Human infections and non-human activity,7,6,0,
"AZ, Maricopa",1999-2024,04013,Human infections and non-human activity,3099,1994,322,
"AZ, Mohave",1999-2024,04015,Human infections and non-human activity,18,12,2,
"AZ, Navajo",1999-2024,04017,Human infections and non-human activity,11,8,1,
"AZ, Pima",1999-2024,04019,Human infections and non-human activity,340,233,67,
"AZ, Pinal",1999-2024,04021,Human infections and non-human activity,228,167,20,
"AZ, Santa Cruz",1999-2024,04023,Human infections and non-human activity,4,1,0,
"AZ, Yavapai",1999-2024,04025,Human infections and non-human activity,13,8,0,
"AZ, Yuma",1999-2024,04027,Human infections and non-human activity,11,7,1,
"AR, Arkansas",1999-2024,05001,Human infections and non-human activity,4,4,0,
"AR, Ashley",1999-2024,05003,Human infections and non-human activity,4,2,0,
"AR, Baxter",1999-2024,05005,Non-human activity,0,0,0,
"AR, Benton",1999-2024,05007,Human infections and non-human activity,9,7,1,
"AR, Boone",1999-2024,05009,Human infections and non-human activity,2,1,0,
"AR, Bradley",1999-2024,05011,Human infections and non-human activity,18,14,0,
"AR, Calhoun",1999-2024,05013,Non-human activity,0,0,0,
"AR, Carroll",1999-2024,05015,Human infections and non-human activity,1,1,0,
"AR, Chicot",1999-2024,05017,Human infections and non-human activity,2,2,0,
"AR, Clark",1999-2024,05019,Human infections and non-human activity,5,2,0,
"AR, Clay",1999-2024,05021,Human infections and non-human activity,1,1,0,
"AR, Cleburne",1999-2024,05023,Human infections and non-human activity,2,2,0,
"AR, Cleveland",1999-2024,05025,Human infections and non-human activity,1,1,0,
"AR, Columbia",1999-2024,05027,Human infections and non-human activity,11,10,1,
"AR, Conway",1999-2024,05029,Human infections and non-human activity,2,2,0,
"AR, Craighead",1999-2024,05031,Human infections and non-human activity,5,3,0,
"AR, Crawford",1999-2024,05033,Human infections and non-human activity,7,5,3,
"AR, Crittenden",1999-2024,05035,Human infections and non-human activity,12,10,0,
"AR, Cross",1999-2024,05037,Non-human activity,0,0,0,
"AR, Dallas",1999-2024,05039,Human infections and non-human activity,2,1,0,
"AR, Desha",1999-2024,05041,Human infections and non-human activity,5,3,0,
"AR, Drew",1999-2024,05043,Human infections and non-human activity,13,10,0,
"AR, Faulkner",1999-2024,05045,Human infections and non-human activity,2,2,1,
"AR, Franklin",1999-2024,05047,Non-human activity,0,0,0,
"AR, Fulton",1999-2024,05049,Non-human activity,0,0,0,
"AR, Garland",1999-2024,05051,Human infections and non-human activity,9,5,0,
"AR, Grant",1999-2024,05053,Human infections and non-human activity,0,0,1,
"AR, Greene",1999-2024,05055,Human infections and non-human activity,2,1,0,
"AR, Hempstead",1999-2024,05057,Human infections and non-human activity,4,2,0,
"AR, Hot Spring",1999-2024,05059,Non-human activity,0,0,0,
"AR, Howard",1999-2024,05061,Human infections and non-human activity,0,0,1,
"AR, Independence",1999-2024,05063,Human infections and non-human activity,4,4,0,
"AR, Izard",1999-2024,05065,Human infections and non-human activity,1,1,0,
"AR, Jackson",1999-2024,05067,Non-human activity,0,0,0,
